state,district,election_year,cand_fname,cand_lname,vote_percent_primary,vote_percent_general,winner_primary,winner_general,ran_primary,ran_general,primary_contested,general_contested,primary_contested_reconciled,general_contested_reconciled,uncontested_prim_final,uncontested_gen_final,election_unique_identifier,candidate_unique_identifier,abb,district_unique_identifier,counties_total,city_election_outliers,year_state_district_unique_identifier,cand_gender,incum_chall,party,vote_count_general,vote_count_primary
Maine,3,2018,S.,Carey,59.42,42.12,W,L,Y,Y,contested,contested,contested,contested,0,0,me-03-2018-carey,me-carey-s,ME,me-03,"Androscoggin, Franklin, Oxford",NA,2018-me-03,M,C,REP,34564,7029
Maryland,Baltimore City,2018,Thiruvendran,Vignarajah,22.5,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,md-baltimore-city-2018-vignarajah,md-vignarajah-thiruvendran,MD,md-baltimore-city,Baltimore City,NA,2018-md-baltimore-city,M,C,DEM,NA,18130
Maryland,Caroline,2018,Joseph,Riley,52.5,97.7,W,W,Y,Y,contested,uncontested,contested,uncontested,0,1,md-caroline-2018-riley,md-riley-joseph,MD,md-caroline,Caroline,NA,2018-md-caroline,M,I,REP,9119,1532
Maryland,Washington,2018,Bernard,Semler,100,45.3,W,L,Y,Y,uncontested,contested,uncontested,contested,1,0,md-washington-2018-semler,md-semler-bernard,MD,md-washington,Washington,NA,2018-md-washington,M,C,DEM,22145,5335
Massachusetts,Suffolk,2018,Shannon,McAuliffe,10.8,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,ma-suffolk-2018-carvalho,ma-carvalho-evandro,MA,ma-suffolk,Suffolk,NA,2018-ma-suffolk,F,O,DEM,NA,9744
Massachusetts,Suffolk,2018,Rachael,Rollins,39.2,80.4,W,W,Y,Y,contested,contested,contested,contested,0,0,ma-suffolk-2018-rollins,ma-rollins-rachael,MA,ma-suffolk,Suffolk,NA,2018-ma-suffolk,F,O,DEM,185133,35329
Minnesota,Big Stone,2018,Joseph,Glasrud,NA,99.38,NA,W,N,Y,uncontested,uncontested,uncontested,uncontested,1,1,mn-big-stone-2018-glasrud,mn-glasrud-joseph,MN,mn-big-stone,Big Stone,NA,2018-mn-big-stone,M,O,NP,2258,NA
Minnesota,Kanabec,2018,Barbara,McFadden,NA,99.46,NA,W,N,Y,uncontested,uncontested,uncontested,uncontested,1,1,mn-kanabec-2018-mcfadden,mn-mcfadden-barbara,MN,mn-kanabec,Kanabec,NA,2018-mn-kanabec,F,I,NP,5132,NA
Missouri,Barry,2018,Amy,Boxx,100,98.2,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-barry-2018-boxx,mo-boxx-amy,MO,mo-barry,Barry,NA,2018-mo-barry,F,I,REP,10263,4547
Missouri,Barton,2018,Michael,Smalley,65.14,100,W,W,Y,Y,contested,uncontested,contested,uncontested,0,1,mo-barton-2018-smalley,mo-smalley-michael,MO,mo-barton,Barton,NA,2018-mo-barton,M,C,REP,4392,1964
